stableKey,id,name,variant,type,group,realm,realmName,family,form,discipline,detailTier,relicforgeWeight,arcaneAlloyWeight,materialZoneTarget,masterSize,gameplaySize,sourceFile,finalFile,previewFile,promptRecipe,status
aetherfall:10,10,Pyromancer,,fire,pilot,,,,1,magic,pilotI,0.88,0.12,4-5,1024,128,sprites/source/af-010-pyromancer-source.png,sprites/final/af-010-pyromancer.png,sprites/previews/af-010-pyromancer-preview.png,pilot:pilotI,generated-validated
aetherfall:11,11,Infernomancer,,fire,pilot,,,,2,magic,pilotII,0.76,0.24,5-6,1024,128,sprites/source/af-011-infernomancer-source.png,sprites/final/af-011-infernomancer.png,sprites/previews/af-011-infernomancer-preview.png,pilot:pilotII,generated-validated
aetherfall:12,12,Suncaller,,fire,pilot,,,,3,magic,pilotIII,0.6,0.4,6-8,1536,128,sprites/source/af-012-suncaller-source.png,sprites/final/af-012-suncaller.png,sprites/previews/af-012-suncaller-preview.png,pilot:pilotIII,generated-validated
aetherfall:13,13,Fluxweaver,,water,pilot,,,,1,magitech,pilotI,0.88,0.12,4-5,1024,128,sprites/source/af-013-fluxweaver-source.png,sprites/final/af-013-fluxweaver.png,sprites/previews/af-013-fluxweaver-preview.png,pilot:pilotI,planned
aetherfall:14,14,Tidebinder,,water,pilot,,,,2,magitech,pilotII,0.76,0.24,5-6,1024,128,sprites/source/af-014-tidebinder-source.png,sprites/final/af-014-tidebinder.png,sprites/previews/af-014-tidebinder-preview.png,pilot:pilotII,planned
aetherfall:15,15,Deepcaller,,water,pilot,,,,3,magitech,pilotIII,0.6,0.4,6-8,1536,128,sprites/source/af-015-deepcaller-source.png,sprites/final/af-015-deepcaller.png,sprites/previews/af-015-deepcaller-preview.png,pilot:pilotIII,planned
aetherfall:16,16,Druid,,grass,pilot,,,,1,magic,pilotI,0.88,0.12,4-5,1024,128,sprites/source/af-016-druid-source.png,sprites/final/af-016-druid.png,sprites/previews/af-016-druid-preview.png,pilot:pilotI,planned
aetherfall:17,17,Grovekeeper,,grass,pilot,,,,2,magic,pilotII,0.76,0.24,5-6,1024,128,sprites/source/af-017-grovekeeper-source.png,sprites/final/af-017-grovekeeper.png,sprites/previews/af-017-grovekeeper-preview.png,pilot:pilotII,planned
aetherfall:18,18,Wildspeaker,,grass,pilot,,,,3,magic,pilotIII,0.6,0.4,6-8,1536,128,sprites/source/af-018-wildspeaker-source.png,sprites/final/af-018-wildspeaker.png,sprites/previews/af-018-wildspeaker-preview.png,pilot:pilotIII,planned
aetherfall:19,19,Stormbinder,,electric,pilot,,,,1,magitech,pilotI,0.88,0.12,4-5,1024,128,sprites/source/af-019-stormbinder-source.png,sprites/final/af-019-stormbinder.png,sprites/previews/af-019-stormbinder-preview.png,pilot:pilotI,planned
